X,Y,OBJECTID,Onstreet,Atstreet,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,last_edited_date
837675.792815495,1000059.31884732,1,Adams Ave,Ballas Rd,10, , , ,592,Thu,Thu,5:00,PM,October,5850,6018,2013,2013,
844460.515138414,1001309.31897199,2,Adams Ave,Geyer Rd,10, ,E,2,669,Wed,Wed,5:00,PM,October,6670,7023,2013,2013,
844266.070645411,1001309.31897199,3,Adams Ave,Geyer Rd,11, ,W,3,709,Thu,Thu,5:00,PM,November,6430,7068,2013,2013,2014/11/19 17:08:51+00
847127.18172108,1001225.98580533,4,Adams Ave,Kirkwood Rd,11, ,E,4,710,Thu,Tue,4:00,PM,November,7490,7835,2013,2013,2014/11/19 17:04:43+00
846759.126026746,1001246.81909699,5,Adams Ave,Kirkwood Rd,11, ,W,5,666,Thu,Fri,5:00,PM,November,6360,6736,2013,2013,2014/11/19 17:10:28+00
844661.64334508,1047012.74790616,6,Adie Rd,Dorsett Rd,7, ,N,6,151,Thu,Thu,7:00,AM,July,1580,748,2013,2013,
846471.539331578,1047773.16436432,7,Adie Rd,Lindbergh Blvd,7, ,E,7,83,Thu,Thu,4:00,PM,July,720,748,2013,2013,
844479.351714913,1046765.35207549,8,Adie Rd,Schaefer Rd,7, ,N,8,690,Wed,Wed,2:00,PM,July,6520,7168,2013,2013,
874564.806307662,1061230.80838074,9,Airport Rd,Florissant Rd,7,140-R,W,9,1860,Wed,Thur,4:00,PM,July,21030,21744,2018,2018,2019/04/18 16:18:04+00
864544.45594158,1061864.31039457,10,Airport Rd,J S McDonnell Blvd,6, ,E,10,1657,Fri,Fri,4:00,PM,June,14982,15144,2019,2019,2020/12/10 17:04:14+00
867330.914279412,1061999.72711849,11,Airport Rd,N Hanley Rd,7, ,E,11,1891,Fri,Wed,5:00,PM,July,22022,22841,2018,2018,2019/04/18 16:17:28+00
867111.276267245,1061965.37023182,12,Airport Rd,N Hanley Rd,5, ,W,12,1838,Fri,Fri,4:00,PM,May,19250,20450,2011,2011,
857002.481524244,967442.796482071,13,Ambs Rd,Butler Hill Rd,10, ,N,13,423,Fri,Wed,7:00,AM,October,3487,3557,2019,2019,2021/11/30 17:15:31+00
860200.398028661,970758.768852741,14,Ambs Rd,Mattis Rd,7, ,S,14,302,Wed,Wed,5:00,PM,July,3050,3123,2011,2011,
858915.67586058,969425.435561404,15,Ambs Rd,Towne Centre Dr,6, ,N,15,309,Wed,Sat,11:00,AM,June,3160,3377,2016,2016,2016/09/02 15:29:36+00
858825.398153994,969328.213314906,16,Ambs Rd,Towne Centre Dr,9, ,S,16,418,Tue,Thu,7:00,AM,September,3200,3384,2005,2005,
833726.274795912,1051686.94590683,17,Ameling Rd,Bennington Rd,10, ,E,17,629,Sat,Wed,5:00,PM,October,6490,6938,2013,2013,
834851.274842497,1051686.94590683,18,Ameling Rd,McKelvey Rd,11, ,W,18,610,Fri,Fri,4:00,PM,November,6680,6849,2012,2012,
823611.083740246,1042502.39734682,19,Amiot Dr,Bookbinder Dr,10, ,N,19,214,Thu,Wed,5:00,PM,October,1740,1834,2015,2015,2015/12/09 14:36:29+00
823542.07337958,1042413.85552915,20,Amiot Dr,Bookbinder Dr,10, ,S,20,29,Wed,Fri,2:00,PM,October,170,190,2015,2015,2015/12/09 14:37:25+00
827850.667124581,1045881.30331866,21,Amiot Dr,Marine Ave,10, ,W,21,476,Thu,Wed,5:00,PM,October,4600,4701,2015,2015,2015/12/09 14:39:29+00
826742.594209496,1045339.63675107,22,Amiot Dr,Seven Pines Dr,10, ,SW,22,303,Wed,Wed,5:00,PM,October,2710,2862,2015,2015,2015/12/09 14:38:39+00
851828.922317579,1047673.66456332,23,Ashby Rd,Baltimore Ave,8, ,S,23,851,Fri,Fri,4:00,PM,August,8990,9587,2013,2013,
851221.283440996,1042677.13682674,24,Ashby Rd,Lackland Rd,9, ,N,24,1121,Fri,Fri,4:00,PM,September,12220,13031,2013,2013,2015/03/09 19:24:03+00
851582.394595411,1045527.83125657,25,Ashby Rd,Midland Blvd,8, ,N,25,922,Fri,Fri,4:00,PM,August,10080,10638,2013,2013,
851538.991795078,1045246.58116291,26,Ashby Rd,Midland Blvd,8,219,S,26,1182,Fri,Fri,4:00,PM,August,12310,13177,2013,2013,2015/03/05 21:03:09+00
851028.735269662,1040818.07820891,27,Ashby Rd,Page Ave,9, ,N,27,1013,Fri,Fri,4:00,PM,September,10730,11428,2013,2013,2014/11/20 16:52:11+00
851011.374083914,1040666.16873582,28,Ashby Rd,Page Ave,9,260,S,28,1214,Fri,Fri,12:00,PM,September,13060,13486,2013,2013,2015/03/06 15:55:35+00
850376.246745247,1037797.24533983,29,Ashby Rd,Warson Rd,9, ,N,29,1115,Thu,Mon,4:00,PM,September,11800,11807,2013,2013,
843458.887548495,1079245.42031732,30,Aubuchon Rd,Missouri Bottom Rd,9,122-C,E,30,2000,Fri,Tue,5:00,PM,September,12450,13647,2011,2011,
848029.521123745,1082466.5638094,31,Aubuchon Rd,Teson Rd,7,131-C,NE,31,962,Fri,Mon,5:00,PM,July,7760,8278,2012,2012,2015/03/04 17:25:21+00
847922.66339783,1082348.71824457,32,Aubuchon Rd,Teson Rd,7,"123, 124",SE,32,1001,Fri,Mon,4:00,PM,July,8180,8755,2012,2012,2015/03/05 21:05:18+00
881192.270742994,987327.256056905,33,Avenue H,Bayless Ave,9, ,S,33,317,Wed,Thu,5:00,PM,September,3340,3473,2015,2015,2015/12/09 14:44:09+00
880337.236035746,986207.464661323,34,Avenue H,Hoffmeister Ave,9, ,S,34,224,Fri,Tue,5:00,PM,September,2130,2186,2015,2015,2015/12/09 14:41:56+00
878983.069452744,984401.908889242,35,Avenue H,Mt Olive Rd,9, ,NE,35,172,Thu,Tue,5:00,PM,September,1270,1282,2015,2015,2015/12/09 14:43:26+00
836368.645167328,1001694.91728216,36,Ballas Rd,Dougherty Ferry Rd,4, ,N,36,1183,Fri,Fri,5:00,PM,April,9230,10650,2011,2011,
836355.624195997,1001529.98683774,37,Ballas Rd,Dougherty Ferry Rd,4, ,S,37,854,Fri,Fri,5:00,PM,April,7660,8482,2011,2011,
836201.978505913,1008237.45209732,38,Ballas Rd,Manchester Rd,4, ,S,38,1371,Fri,Fri,5:00,PM,April,10800,12463,2011,2011,
862883.194828413,1064863.01732366,39,Banshee Rd,J S McDonnell Blvd,7, ,W,39,696,Wed,Wed,4:00,PM,July,5440,5959,2016,2016,2016/09/02 15:33:31+00
859823.008691579,979006.115875073,40,Baptist Church Rd,Concord Village Rd,8, ,N,40,1210,Fri,Wed,4:00,PM,August,13290,14395,2012,2012,
859858.638869662,986360.188765325,41,Baptist Church Rd,Gravois Rd,8, ,S,41,1200,Fri,Fri,5:00,PM,August,9010,10566,2007,2007,
859845.941388495,980231.79452607,42,Baptist Church Rd,Lindbergh Blvd,8, ,N,42,1173,Sat,Sat,6:00,PM,August,10250,13455,2012,2012,
859838.81509041,979978.043065071,43,Baptist Church Rd,Lindbergh Blvd,8, ,S,43,1166,Fri,Fri,6:00,PM,August,12060,13418,2007,2007,
859612.013378661,978336.268133402,44,Baptist Church Rd,Tesson Ferry Rd,8, ,N,44,1420,Fri,Fri,5:00,PM,August,15620,17058,2012,2012,
827830.35712583,1005693.30757932,45,Barrett Parkway Dr,Barrett Station Rd,3, ,E,45,195,Wed,Thu,12:00,PM,March,1640,1725,2015,2015,2017/11/09 18:56:32+00
827747.891739577,1005671.60617916,46,Barrett Parkway Dr,Barrett Station Rd,3, ,W,46,233,Wed,Fri,4:00,PM,March,2180,2286,2015,2015,2015/06/24 20:23:16+00
828424.975031078,1006431.15485691,47,Barrett Parkway Dr N,Manchester Rd,2, ,NW,47,683,Fri,Tue,5:00,PM,February,2230,2335,2015,2015,2015/06/24 20:26:03+00
827161.954263162,1005962.40481015,48,Barrett Parkway Dr,Manchester Rd,2, ,SE,48,233,Fri,Fri,2:00,PM,February,2090,2248,2015,2015,2015/06/24 20:24:16+00
827700.148724828,1006474.55732916,49,Barrett Parkway Dr N,Barrett Station Rd,2, ,E,49,683,Fri,Fri,5:00,PM,February,6050,6884,2015,2015,2015/06/24 20:25:06+00
827812.995940078,1005589.14079291,50,Barrett Station Rd,Barrett Parkway Dr,2, ,S,50,815,Fri,Tue,5:00,PM,February,7330,2348,2015,2015,2015/06/24 20:30:39+00
827639.384738747,1006604.76573016,51,Barrett Station Rd,Barrett Parkway Dr N,2, ,N,51,62,Fri,Sat,12:00,PM,February,600,650,2015,2015,2015/06/24 20:26:55+00
833398.933258995,994803.550487489,52,Barrett Station Rd,Big Bend Rd,2, ,N,52,168,Wed,Tue,5:00,PM,February,1529,1571,2015,2015,2015/06/24 20:27:48+00
830178.447245911,999703.724086069,53,Barrett Station Rd,Dougherty Ferry Rd,2,363-C,N,53,760,Fri,Wed,5:00,PM,February,6360,6720,2012,2012,
830376.760497577,998821.319354825,54,Barrett Station Rd,Dougherty Ferry Rd,2,364,S,54,298,Wed,Wed,2:00,PM,February,2920,3112,2015,2015,2015/06/24 20:31:50+00
827639.384738747,1006201.1198839,55,Barrett Station Rd,Manchester Rd,2, ,N,55,272,Sat,Sat,10:00,AM,February,7590,2348,2015,2015,2015/06/24 20:28:35+00
852854.205043912,969977.607029237,56,Bauer Rd,Keller Rd,8, ,W,56,79,Tue,Wed,5:00,PM,August,790,896,2012,2012,
854169.309040997,970520.141705319,57,Bauer Rd,Tesson Ferry Rd,8, ,W,57,531,Tue,Wed,5:00,PM,August,4110,4256,2012,2012,
870553.857636664,958211.113829985,58,Baumgartner Rd,Heintz Rd,6, ,E,58,688,Tue,Mon,5:00,PM,June,7560,7704,2018,2018,2018/08/14 14:33:03+00
870323.822991747,958098.266614735,59,Baumgartner Rd,Heintz Rd,6,512,W,59,1233,Wed,Tue,5:00,PM,June,11470,11915,2018,2018,2018/08/14 14:34:20+00
861204.899300497,958059.203700736,60,Baumgartner Rd,Lemay Ferry Rd,6, ,E,60,1606,Tue,Mon,4:00,PM,June,12900,13327,2018,2018,2018/08/14 14:35:32+00
872511.323209912,960420.315120235,61,Baumgartner Rd,Old Baumgartner Rd (East Int),6, ,E,61,949,Thu,Fri,5:00,PM,June,10410,10481,2018,2018,2018/08/14 14:37:13+00
862355.072853163,957547.051181741,62,Baumgartner Rd,Old Baumgartner Rd (West Int),6, ,E,62,1253,Tue,Tue,4:00,PM,June,13700,13905,2018,2018,2018/08/14 14:38:32+00
875870.698052827,960138.197246157,63,Baumgartner Rd,Telegraph Rd,5, ,W,63,876,Wed,Tue,5:00,PM,May,11290,11657,2018,2018,2018/08/14 14:39:15+00
847723.758283827,1038091.13812474,64,Baur Blvd,Lindbergh Blvd,8, ,E,64,626,Wed,Thu,4:00,PM,August,6320,6604,2013,2013,
850206.39701933,1038360.23535557,65,Baur Blvd,Warson Rd,8, ,W,65,497,Tue,Tue,12:00,PM,August,5340,5584,2013,2013,
797514.209752996,1031288.70750391,66,Baxter Rd,Edison Ave,1, ,N,66,618,Fri,Fri,5:00,PM,January,6630,7152,2014,2014,2014/11/19 17:14:49+00
797362.473507911,1030545.99934366,67,Baxter Rd,Old Chesterfield Rd,6, ,S,67,1097,Fri,Fri,12:00,PM,June,12700,13440,2017,2017,2017/07/19 18:26:58+00
800378.098382164,1022280.37414265,68,Baxter Rd,Clarkson Rd,1, ,W,68,1329,Fri,Fri,5:00,PM,January,13320,14224,2014,2014,2014/11/19 17:19:59+00
808761.34506708,1012943.56866932,69,Baxter Rd,Clayton Rd,1, ,N,69,1334,Thu,Thu,4:00,PM,January,13390,13552,2014,2014,2014/11/19 17:12:55+00
808865.511853494,1012726.55466766,70,Baxter Rd,Clayton Rd,6, ,S,70,1468,Fri,Fri,4:00,PM,June,15700,16203,2017,2017,2017/11/09 21:13:31+00
805375.928281497,1017999.99228349,71,Baxter Rd,Country Ridge Dr,1, ,N,71,855,Fri,Fri,5:00,PM,January,8870,9252,2014,2014,2014/11/19 17:14:02+00
805488.775496747,1017856.76323924,72,Baxter Rd,Country Ridge Dr,1,312-C,S,72,1112,Fri,Fri,5:00,PM,January,11950,12106,2014,2014,2015/03/05 21:06:46+00
809477.490944497,1010586.79779232,73,Baxter Rd,Holloway Rd,1, ,SE,73,901,Wed,Wed,4:00,PM,January,8940,9265,2014,2014,2014/11/19 17:19:20+00
814204.053341746,1004983.49928766,74,Baxter Rd,Manchester Rd,1, ,N,74,1434,Thu,Tue,4:00,PM,January,13000,13226,2014,2014,2014/11/19 17:15:34+00
801960.129666913,1022092.87418957,75,Baxter Rd,Old Baxter Rd,1, ,W,75,1376,Fri,Fri,5:00,PM,January,13740,14640,2014,2014,2014/11/19 17:20:45+00
796890.685409494,1029228.29102107,76,Baxter Rd,Wild Horse Creek Rd,6, ,N,76,1113,Fri,Wed,5:00,PM,June,12620,13278,2017,2017,2017/07/19 18:27:39+00
797059.95606833,1028993.91583365,77,Baxter Rd,Wild Horse Creek Rd,1, ,S,77,1219,Fri,Fri,5:00,PM,January,12510,13417,2014,2014,2014/11/19 17:18:19+00
880571.857613746,987839.397749156,78,Bayless Ave,I-55,10,419,SE,78,1419,Fri,Thur,5:00,PM,October,16864,17344,2018,2018,2019/04/18 16:19:49+00
883071.437916413,985948.047529235,79,Bayless Ave,Lemay Ferry Rd,10, ,NW,79,1062,Fri,Thur,4:00,PM,October,12606,12914,2018,2018,2019/04/18 16:20:39+00
879395.222499829,988695.443281159,80,Bayless Ave,Union Rd,10, ,SE,80,1980,Fri,Tue,5:00,PM,October,22270,23543,2015,2015,2015/12/09 14:48:54+00
802693.183646996,972577.932209156,81,Beaumont - Antire Rd,I-44,10,311,S,81,675,Fri,Fri,5:00,PM,October,4810,5413,2017,2017,2017/11/09 17:12:40+00
866727.448950913,938676.084658653,82,Becker Rd,Fine Rd,10, ,E,82,136,Sat,Sat,5:00,PM,October,1090,1194,2010,2010,
870182.30982333,948012.02235157,83,Becker Rd,Telegraph Rd,10, ,S,83,734,Fri,Fri,5:00,PM,October,7480,8825,2010,2010,
822790.734987244,988911.734843321,84,Beckett Memorial Dr,Marshall Rd,11, ,N,84,535,Wed,Wed,3:00,PM,November,5750,6090,2014,2014,2014/11/19 17:21:40+00
898929.272014327,1062023.30548341,85,Bellefontaine Rd,Chambers Rd,6, ,N,85,1128,Fri,Tue,5:00,PM,June,13230,13674,2015,2015,2015/06/24 20:33:52+00
898885.869213995,1061732.5068524,86,Bellefontaine Rd,Chambers Rd,6, ,S,86,974,Thu,Thu,5:00,PM,June,11520,11885,2015,2015,2015/06/24 20:36:49+00
899849.41092208,1069558.02794674,87,Bellefontaine Rd,I-270,6, ,N,87,1629,Sat,Fri,5:00,PM,June,20870,22627,2015,2015,2015/06/24 20:34:33+00
899775.626292747,1068980.77089915,88,Bellefontaine Rd,I-270,6, ,S,88,1355,Fri,Thu,5:00,PM,June,17590,18121,2015,2015,2015/06/24 20:37:32+00
897783.438676078,1054857.50715099,89,Bellefontaine Rd,Jennings Station Rd,6, ,N,89,1157,Fri,Thu,5:00,PM,June,11450,11916,2015,2015,2015/06/24 20:35:20+00
897761.737275913,1054662.19454949,90,Bellefontaine Rd,Jennings Station Rd,6, ,S,90,899,Fri,Tue,5:00,PM,June,10650,11463,2015,2015,2015/06/24 20:38:22+00
900010.00115208,1070525.90986924,91,Bellefontaine Rd,Larimore Parkway,6, ,N,91,1314,Fri,Fri,5:00,PM,June,16290,16899,2015,2015,2015/06/24 20:36:05+00
899918.855336994,1070009.41680774,92,Bellefontaine Rd,Larimore Rd,1, ,N,92,1388,Thu,Thu,5:00,PM,January,16760,17248,2017,2017,2017/07/19 18:28:52+00
900635.001214411,1083203.86121932,93,Bellefontaine Rd,New Jamestown Rd,7, ,N,93,80,Tue,Thu,5:00,PM,July,880,916,2015,2015,2015/12/09 14:50:18+00
900648.022185747,1082930.42377407,94,Bellefontaine Rd,New Jamestown Rd,7, ,S,94,214,Sat,Tue,5:00,PM,July,2350,2475,2015,2015,2015/12/09 14:54:44+00
901850.278967578,1078373.13203566,95,Bellefontaine Rd,Parker Rd,6, ,N,95,639,Sat,Sat,4:00,PM,June,7520,8513,2015,2015,2015/12/09 14:51:45+00
901767.813909411,1078125.73620499,96,Bellefontaine Rd,Parker Rd,6, ,S,96,649,Fri,Wed,5:00,PM,June,8110,8538,2015,2015,2015/12/09 14:55:41+00
900899.758230828,1074944.31244974,97,Bellefontaine Rd,Redman Rd,6, ,S,97,940,Sat,Fri,5:00,PM,June,11450,12786,2015,2015,2015/06/24 20:39:01+00
902015.20974008,1079084.93769865,98,Bellefontaine Rd,Spanish Pond Rd,7,125,N,98,399,Sat,Sat,2:00,PM,July,4610,5182,2015,2015,2015/12/09 14:52:48+00
898082.918063994,1056289.79857774,99,Bellefontaine Rd,Teurville Dr / St Cyr Rd,6, ,N,99,857,Fri,Thu,5:00,PM,June,10230,10420,2015,2015,2015/12/09 14:53:51+00
901307.744291496,1076459.06959082,100,Bellefontaine Rd,Trampe Rd,6, ,S,100,806,Fri,Fri,5:00,PM,June,9840,10415,2015,2015,2015/06/24 20:39:47+00
833656.614830244,1051571.32737166,101,Bennington Pl,Ameling Rd,10, ,S,101,1042,Wed,Wed,5:00,PM,October,10920,10992,2013,2013,
830297.239659246,1041206.74409824,102,Bennington Pl,Fee Fee Rd,10, ,N,102,1911,Fri,Tue,7:00,AM,October,19650,20308,2013,2013,
832211.302104078,1044796.15391415,103,Bennington Pl,Marine Ave,10, ,S,103,2270,Fri,Tue,5:00,PM,October,20830,21394,2013,2013,
833509.045243494,1050117.33421665,104,Bennington Pl,McKelvey Rd,7, ,N,104,1575,Fri,Fri,5:00,PM,July,16540,17659,2013,2013,
830245.156430081,1042660.73725324,105,Bennington Pl,Page Ave,10, ,N,105,2481,Fri,Mon,5:00,PM,October,23740,23743,2013,2013,
877484.681701496,1046976.23255924,106,Bermuda Dr,Florissant Rd,8, ,N,106,198,Wed,Wed,4:00,PM,August,2000,2052,2016,2016,2017/11/09 18:51:03+00
877981.209579829,1050264.42677024,107,Bermuda Dr,I-70,8, ,N,107,732,Fri,Tue,4:00,PM,August,7570,7868,2016,2016,2017/11/09 18:51:06+00
877946.487208329,1049469.28794057,108,Bermuda Dr,I-70,8, ,S,108,302,Fri,Thu,5:00,PM,August,3870,4024,2016,2016,2017/11/09 18:51:14+00
878345.039560828,1057903.96857774,109,Bermuda Dr,Paul Ave,8,142,S,109,843,Fri,Wed,4:00,PM,August,8590,8787,2016,2016,2017/11/09 18:51:18+00
855294.672931995,997789.162298404,110,Berry Rd,Big Bend Blvd,10, ,N,110,921,Fri,Tue,5:00,PM,October,9470,9945,2013,2013,
855299.013474494,998830.82885024,111,Berry Rd,I-44,10, ,N,111,1395,Fri,Fri,5:00,PM,October,13340,14167,2013,2013,
855338.075732328,1005879.44008107,112,Berry Rd,Kirkham Rd,10, ,N,112,965,Fri,Tue,5:00,PM,October,9010,9525,2013,2013,
855294.672931995,1001630.3081594,113,Berry Rd,Lockwood Blvd (N Int),10, ,N,113,1255,Fri,Tue,5:00,PM,October,10820,11677,2013,2013,
855299.013474494,1000974.92626807,114,Berry Rd,Lockwood Blvd (S Int),10, ,S,114,1484,Fri,Fri,4:00,PM,October,14250,15447,2013,2013,
855173.145287912,1009160.69008024,115,Berry Rd,Manchester Rd,10, ,S,115,904,Fri,Tue,5:00,PM,October,9350,9702,2013,2013,
855394.770828914,997730.943910904,116,Big Bend Blvd,Berry Rd,5, ,E,116,1278,Wed,Wed,5:00,PM,May,12840,13286,2015,2015,2017/11/09 18:53:02+00
872057.097084247,1020196.22148682,117,Big Bend Blvd,Clayton Rd,5, ,N,117,2827,Thu,Thu,8:00,AM,May,28810,31518,2015,2015,2015/06/24 20:44:03+00
872013.694283914,1019914.10361274,118,Big Bend Blvd,Clayton Rd,5, ,S,118,2487,Thu,Wed,5:00,PM,May,26820,27457,2015,2015,2015/06/24 20:50:17+00
873315.777637746,1027921.91600916,119,Big Bend Blvd,Delmar Blvd,6, ,S,119,1909,Fri,Tue,5:00,PM,June,18260,19043,2015,2015,2015/06/24 20:51:26+00
864733.540865246,1003823.05475815,120,Big Bend Blvd,Edgar Rd,5, ,E,120,1450,Wed,Thu,7:00,AM,May,13490,13709,2015,2015,2015/06/24 20:50:57+00
860806.457512081,1001249.27020757,121,Big Bend Blvd,Elm Ave,5, ,E,121,1004,Wed,Tue,5:00,PM,May,10120,10435,2015,2015,2015/06/24 20:42:09+00
860580.76308158,1001093.02019199,122,Big Bend Blvd,Elm Ave,5, ,W,122,928,Tue,Tue,5:00,PM,May,7770,7883,2015,2015,2015/06/24 20:56:14+00
872847.654230163,1024808.20734157,123,Big Bend Blvd,Forsyth Blvd,10, ,N,123,2178,Fri,Thur,5:00,PM,October,24217,24214,2018,2018,2019/04/18 16:21:57+00
871732.202720914,1018085.11711324,124,Big Bend Blvd,I-64 / US-40,5, ,N,124,2506,Thu,Thu,5:00,PM,May,28270,28677,2015,2015,2015/06/24 20:45:41+00
871680.119491745,1017755.25589632,125,Big Bend Blvd,I-64 / US-40,5, ,S,125,3128,Fri,Tue,4:00,PM,May,36130,35543,2015,2015,2015/06/24 20:52:55+00
868407.549921412,1006362.0270424,126,Big Bend Blvd,Laclede Station Rd,5, ,NE,126,1767,Thu,Wed,5:00,PM,May,18710,19186,2015,2015,2015/06/24 20:47:08+00
868203.55689108,1006153.69346957,127,Big Bend Blvd,Laclede Station Rd,5, ,SW,127,1345,Fri,Thu,5:00,PM,May,13250,14403,2015,2015,2015/06/24 20:58:12+00
866098.522059161,1004126.78380949,128,Big Bend Blvd,Lockwood Blvd,5, ,NE,128,1296,Wed,Thu,5:00,PM,May,14200,15160,2015,2015,2015/06/24 20:47:53+00
865655.81395508,1004022.61702307,129,Big Bend Blvd,Lockwood Blvd,5, ,SW,129,576,Wed,Tue,5:00,PM,May,6300,6412,2015,2015,2015/06/24 20:55:27+00
870790.362412997,1011987.02694724,130,Big Bend Blvd,Manchester Rd,5, ,N,130,2588,Thu,Thu,4:00,PM,May,29890,30403,2015,2015,2015/06/24 20:46:28+00
870751.29982708,1011770.01294557,131,Big Bend Blvd,Manchester Rd,5, ,S,131,2545,Thu,Thu,5:00,PM,June,27540,28064,2015,2015,2015/06/24 20:53:53+00
